"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for instagram_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Sat Jan 04 01:56:52 GMT 2025","broken","Sat Jan 04 01:56:52 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-512x512-coupon_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:08:04 GMT 2025","broken","Sat Jan 04 02:08:04 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for business_qr_create with 2048x2048 resolution","tests.tests_nsf_flow","Sat Jan 04 02:03:44 GMT 2025","broken","Sat Jan 04 02:03:44 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","53194","Create business_qr_create QR code with 1024x1024 PNG download","tests.tests_default_flow","Sat Jan 04 02:06:38 GMT 2025","passed","Sat Jan 04 02:07:32 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-4096x4096-mp3_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:16:13 GMT 2025","broken","Sat Jan 04 02:16:13 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-Default-instagram_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:06:06 GMT 2025","broken","Sat Jan 04 02:06:06 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for mp3_qr_create with 2048x2048 resolution","tests.tests_nsf_flow","Sat Jan 04 02:02:15 GMT 2025","broken","Sat Jan 04 02:02:15 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for image_qr_create with 4096x4096 resolution","tests.tests_nsf_flow","Sat Jan 04 02:06:20 GMT 2025","broken","Sat Jan 04 02:06:20 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for apps_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Sat Jan 04 02:00:16 GMT 2025","broken","Sat Jan 04 02:00:16 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-4096x4096-instagram_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:15:33 GMT 2025","broken","Sat Jan 04 02:15:33 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
